date,time,close,low,sma,entry_signal,exit_signal,account_price,account_balance,position_value,total_value,profit_loss,cumulative_return,drawdown,active_trades
2023-01-28,2023-01-28,23022.6,22878.46,22694.692000000003,1,0,23022.6,282.48,11962.88,12245.35,2245.35,22.45,0.22,10.0
2023-01-29,2023-01-29,23742.3,22967.76,22961.763,1,0,23742.3,282.48,12336.84,12619.32,2619.32,26.19,0.0,10.0
2023-01-30,2023-01-30,22826.15,22500.0,22977.657,0,-1,22826.15,12142.09,0.0,12142.09,2142.09,21.42,3.78,0.0
2023-01-31,2023-01-31,23125.13,22714.77,23011.815000000002,1,0,23125.13,8499.46,3642.26,12141.72,2141.72,21.42,3.78,1.0
2023-02-01,2023-02-01,23732.66,22760.23,23114.293,1,0,23732.66,5949.62,6287.53,12237.16,2237.16,22.37,3.03,2.0
2023-02-02,2023-02-02,23488.94,23363.27,23171.542,1,0,23488.94,4164.74,8007.67,12172.41,2172.41,21.72,3.54,3.0
2023-02-03,2023-02-03,23431.9,23204.62,23251.443000000003,1,0,23431.9,2915.32,9237.52,12152.84,2152.84,21.53,3.7,4.0
2023-02-04,2023-02-04,23326.84,23253.96,23278.033000000003,1,0,23326.84,2040.72,10070.61,12111.33,2111.33,21.11,4.03,5.0
2023-02-05,2023-02-05,22932.91,22743.0,23270.359000000004,0,-1,22932.91,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-06,2023-02-06,22762.52,22628.13,23239.195,0,-1,22762.52,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-07,2023-02-07,23240.46,22745.78,23260.981,0,-1,23240.46,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-08,2023-02-08,22963.0,22665.85,23183.051,0,-1,22963.0,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-09,2023-02-09,21796.35,21688.0,23080.071000000004,0,-1,21796.35,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-10,2023-02-10,21625.19,21451.0,22930.077,0,-1,21625.19,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-11,2023-02-11,21862.55,21599.78,22743.066,0,-1,21862.55,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-12,2023-02-12,21783.54,21630.0,22572.526,0,-1,21783.54,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-13,2023-02-13,21773.97,21351.07,22406.733,0,-1,21773.97,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-14,2023-02-14,22199.84,21532.77,22294.033000000003,0,-1,22199.84,11940.28,0.0,11940.28,1940.28,19.4,5.38,0.0
2023-02-15,2023-02-15,24324.05,22047.28,22433.147,1,0,24324.05,8358.19,3581.72,11939.92,1939.92,19.4,5.38,1.0
2023-02-16,2023-02-16,23517.72,23505.25,22508.667,1,0,23517.72,5850.74,5970.2,11820.93,1820.93,18.21,6.33,2.0
2023-02-17,2023-02-17,24569.97,23339.37,22641.618000000002,1,0,24569.97,4095.51,7992.37,12087.88,2087.88,20.88,4.21,3.0
2023-02-18,2023-02-18,24631.95,24430.0,22808.513000000003,1,0,24631.95,2866.86,9241.06,12107.92,2107.92,21.08,4.05,4.0
2023-02-19,2023-02-19,24271.76,24192.57,23056.054000000004,1,0,24271.76,2006.8,9965.9,11972.7,1972.7,19.73,5.12,5.0
2023-02-20,2023-02-20,24842.2,23840.83,23377.755000000005,1,0,24842.2,1404.76,10802.1,12206.87,2206.87,22.07,3.27,6.0
2023-02-21,2023-02-21,24452.16,24148.34,23636.716000000008,1,0,24452.16,983.33,11053.89,12037.22,2037.22,20.37,4.61,7.0
2023-02-22,2023-02-22,24182.21,23574.69,23876.583000000006,1,0,24182.21,688.33,11226.83,11915.16,1915.16,19.15,5.58,8.0
2023-02-23,2023-02-23,23940.2,23608.0,24093.206000000006,0,-1,23940.2,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-02-24,2023-02-24,23185.29,22841.19,24191.751000000007,0,-1,23185.29,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-02-25,2023-02-25,23157.07,22722.0,24075.053000000007,0,-1,23157.07,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-02-26,2023-02-26,23554.85,23059.18,24078.76600000001,0,-1,23554.85,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-02-27,2023-02-27,23492.09,23106.77,23970.97800000001,0,-1,23492.09,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-02-28,2023-02-28,23141.57,23020.97,23821.94000000001,0,-1,23141.57,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-01,2023-03-01,23628.97,23020.03,23757.661000000007,0,-1,23628.97,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-02,2023-03-02,23465.32,23195.9,23619.973000000005,0,-1,23465.32,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-03,2023-03-03,22354.34,21971.13,23410.191000000006,0,-1,22354.34,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-04,2023-03-04,22346.57,22157.08,23226.627000000008,0,-1,22346.57,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-05,2023-03-05,22430.24,22189.22,23075.631000000005,0,-1,22430.24,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-06,2023-03-06,22410.0,22258.0,22998.102000000006,0,-1,22410.0,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-07,2023-03-07,22197.96,21927.0,22902.191000000003,0,-1,22197.96,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-08,2023-03-08,21705.44,21580.0,22717.250000000004,0,-1,21705.44,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-09,2023-03-09,20362.22,20042.72,22404.263000000003,0,-1,20362.22,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-10,2023-03-10,20150.69,19549.09,22105.175000000003,0,-1,20150.69,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-11,2023-03-11,20455.73,19765.03,21787.851000000002,0,-1,20455.73,11801.69,0.0,11801.69,1801.69,18.02,6.48,0.0
2023-03-12,2023-03-12,21997.11,20270.6,21641.030000000006,1,0,21997.11,8261.18,3540.15,11801.34,1801.34,18.01,6.48,1.0
2023-03-13,2023-03-13,24113.48,21813.88,21816.944000000007,1,0,24113.48,5782.83,6358.86,12141.69,2141.69,21.42,3.78,2.0
2023-03-14,2023-03-14,24670.41,23976.42,22049.328000000005,1,0,24670.41,4047.98,8240.4,12288.38,2288.38,22.88,2.62,3.0
2023-03-15,2023-03-15,24285.66,23896.95,22234.870000000006,1,0,24285.66,2833.59,9326.16,12159.75,2159.75,21.6,3.64,4.0
2023-03-16,2023-03-16,24998.78,24123.0,22493.748000000007,1,0,24998.78,1983.51,10450.01,12433.52,2433.52,24.34,1.47,5.0
2023-03-17,2023-03-17,27395.13,24890.0,23013.465000000007,1,0,27395.13,1388.46,12046.72,13435.18,3435.18,34.35,0.0,6.0
2023-03-18,2023-03-18,26907.49,26578.0,23533.670000000006,1,0,26907.49,971.92,12248.78,13220.7,3220.7,32.21,1.6,7.0
2023-03-19,2023-03-19,27972.87,26827.22,24294.735000000008,1,0,27972.87,680.34,13025.31,13705.66,3705.66,37.06,0.0,8.0
2023-03-20,2023-03-20,27717.01,27124.47,25051.367000000006,1,0,27717.01,476.24,13110.26,13586.5,3586.5,35.86,0.87,9.0
2023-03-21,2023-03-21,28105.47,27303.1,25816.341000000008,1,0,28105.47,333.37,13436.86,13770.23,3770.23,37.7,0.0,10.0
2023-03-22,2023-03-22,27250.97,26601.8,26341.727000000003,1,0,27250.97,333.37,13028.33,13361.7,3361.7,33.62,2.97,10.0
2023-03-23,2023-03-23,28295.41,27105.0,26759.920000000002,1,0,28295.41,333.37,13527.66,13861.03,3861.03,38.61,0.0,10.0
2023-03-24,2023-03-24,27454.47,27000.0,27038.326,1,0,27454.47,333.37,13125.62,13458.99,3458.99,34.59,2.9,10.0
2023-03-25,2023-03-25,27462.95,27156.09,27356.055,1,0,27462.95,333.37,13129.68,13463.04,3463.04,34.63,2.87,10.0
2023-03-26,2023-03-26,27968.05,27417.76,27652.982,1,0,27968.05,333.37,13371.16,13704.53,3704.53,37.05,1.13,10.0
2023-03-27,2023-03-27,27124.91,26508.14,27625.96,0,-1,27124.91,13300.14,0.0,13300.14,3300.14,33.0,4.05,0.0
2023-03-28,2023-03-28,27261.07,26631.78,27661.318,0,-1,27261.07,13300.14,0.0,13300.14,3300.14,33.0,4.05,0.0
2023-03-29,2023-03-29,28348.6,27240.1,27698.890999999996,1,0,28348.6,9310.09,3989.64,13299.74,3299.74,33.0,4.05,1.0
2023-03-30,2023-03-30,28028.53,27686.0,27730.042999999994,1,0,28028.53,6517.07,6737.35,13254.41,3254.41,32.54,4.38,2.0
2023-03-31,2023-03-31,28465.36,27511.71,27766.031999999996,1,0,28465.36,4561.95,8797.27,13359.22,3359.22,33.59,3.62,3.0
2023-04-01,2023-04-01,28452.73,28220.27,27886.207999999995,1,0,28452.73,3193.36,10161.82,13355.18,3355.18,33.55,3.65,4.0
2023-04-02,2023-04-02,28171.87,27856.43,27873.854,1,0,28171.87,2235.35,11019.42,13254.77,3254.77,32.55,4.37,5.0
2023-04-03,2023-04-03,27800.0,27200.24,27908.406999999996,0,-1,27800.0,13108.23,0.0,13108.23,3108.23,31.08,5.43,0.0
2023-04-04,2023-04-04,28165.47,27662.79,27978.658999999996,1,0,28165.47,9175.76,3932.08,13107.84,3107.84,31.08,5.43,1.0
2023-04-05,2023-04-05,28170.01,27805.1,27998.855,1,0,28170.01,6423.03,6685.16,13108.2,3108.2,31.08,5.43,2.0
2023-04-06,2023-04-06,28033.82,27711.0,28089.745999999996,0,-1,28033.82,13075.21,0.0,13075.21,3075.21,30.75,5.67,0.0
2023-04-07,2023-04-07,27906.33,27766.94,28154.271999999997,0,-1,27906.33,13075.21,0.0,13075.21,3075.21,30.75,5.67,0.0
