time,close,low
2023-01-01,16616.75,16499.01
2023-01-02,16672.87,16548.7
2023-01-03,16675.18,16605.28
2023-01-04,16850.36,16652.66
2023-01-05,16831.85,16753.0
2023-01-06,16950.65,16679.0
2023-01-07,16943.57,16908.0
2023-01-08,17127.83,16911.0
2023-01-09,17178.26,17104.66
2023-01-10,17440.66,17146.34
2023-01-11,17943.26,17315.6
2023-01-12,18846.62,17892.05
2023-01-13,19930.01,18714.12
2023-01-14,20954.92,19888.05
2023-01-15,20871.5,20551.01
2023-01-16,21185.65,20611.48
2023-01-17,21134.81,20841.31
2023-01-18,20677.47,20407.15
2023-01-19,21071.59,20659.19
2023-01-20,22667.21,20861.28
2023-01-21,22783.55,22422.0
2023-01-22,22707.88,22292.37
2023-01-23,22916.45,22500.0
2023-01-24,22632.89,22462.93
2023-01-25,23060.94,22300.0
2023-01-26,23009.65,22850.01
2023-01-27,23074.16,22534.88
2023-01-28,23022.6,22878.46
2023-01-29,23742.3,22967.76
2023-01-30,22826.15,22500.0
2023-01-31,23125.13,22714.77
2023-02-01,23732.66,22760.23
2023-02-02,23488.94,23363.27
2023-02-03,23431.9,23204.62
2023-02-04,23326.84,23253.96
2023-02-05,22932.91,22743.0
2023-02-06,22762.52,22628.13
2023-02-07,23240.46,22745.78
2023-02-08,22963.0,22665.85
2023-02-09,21796.35,21688.0
2023-02-10,21625.19,21451.0
2023-02-11,21862.55,21599.78
2023-02-12,21783.54,21630.0
2023-02-13,21773.97,21351.07
2023-02-14,22199.84,21532.77
2023-02-15,24324.05,22047.28
2023-02-16,23517.72,23505.25
2023-02-17,24569.97,23339.37
2023-02-18,24631.95,24430.0
2023-02-19,24271.76,24192.57
2023-02-20,24842.2,23840.83
2023-02-21,24452.16,24148.34
2023-02-22,24182.21,23574.69
2023-02-23,23940.2,23608.0
2023-02-24,23185.29,22841.19
2023-02-25,23157.07,22722.0
2023-02-26,23554.85,23059.18
2023-02-27,23492.09,23106.77
2023-02-28,23141.57,23020.97
2023-03-01,23628.97,23020.03
2023-03-02,23465.32,23195.9
2023-03-03,22354.34,21971.13
2023-03-04,22346.57,22157.08
2023-03-05,22430.24,22189.22
2023-03-06,22410.0,22258.0
2023-03-07,22197.96,21927.0
2023-03-08,21705.44,21580.0
2023-03-09,20362.22,20042.72
2023-03-10,20150.69,19549.09
2023-03-11,20455.73,19765.03
2023-03-12,21997.11,20270.6
2023-03-13,24113.48,21813.88
2023-03-14,24670.41,23976.42
2023-03-15,24285.66,23896.95
